Artist,Song,Year,Genre,Duration_mins,Popularity,Danceability,Valence
Britney Spears,Oops!...I Did It Again,2000,pop,3.52,77,0.751,0.894
Bon Jovi,It's My Life,2000,"rock, metal",3.74,78,0.551,0.544
*NSYNC,Bye Bye Bye,2000,pop,3.34,65,0.614,0.879
Eminem,The Real Slim Shady,2000,hip hop,4.74,86,0.949,0.76
Robbie Williams,Rock DJ,2000,"pop, rock",4.31,68,0.708,0.861
Modjo,Lady - Hear Me Tonight,2001,Dance/Electronic,5.12,77,0.72,0.869
Gigi D'Agostino,L'Amour Toujours,2011,pop,3.98,1,0.617,0.808
Bomfunk MC's,Freestyler,2000,pop,5.11,55,0.822,0.568
Aaliyah,Try Again,2002,"hip hop, pop, R&B",4.73,53,0.797,0.731
Alice Deejay,Better Off Alone,2000,pop,3.58,73,0.671,0.782
Linkin Park,In the End,2000,"rock, metal",3.61,83,0.556,0.4
Sonique,It Feels So Good,2000,pop,4.01,62,0.634,0.558
M.O.P.,Cold as Ice,2000,hip hop,4.07,54,0.656,0.758
Limp Bizkit,Take A Look Around,2000,metal,5.35,72,0.425,0.512
Darude,Sandstorm,2001,"pop, Dance/Electronic",3.76,69,0.528,0.587
Da Brat,What'chu Like (feat. Tyrese),2000,"hip hop, pop, R&B",3.69,53,0.879,0.817
Moloko,The Time Is Now,2000,"pop, Dance/Electronic",5.3,54,0.682,0.546
Chicane,Don't Give Up,2016,Dance/Electronic,3.51,47,0.644,0.53
Debelah Morgan,Dance with Me,2000,"pop, R&B",3.67,49,0.85,0.74
Madonna,Music,2000,pop,3.77,58,0.736,0.871
Ruff Endz,No More,2000,R&B,4.04,52,0.839,0.927
Kylie Minogue,Spinning Around,2000,"pop, Dance/Electronic",3.46,55,0.761,0.631
LeAnn Rimes,I Need You,2001,"pop, country",3.83,61,0.478,0.564
Avant,Separated,2000,"pop, R&B",4.26,55,0.798,0.643
Toni Braxton,He Wasn't Man Enough,2000,"pop, R&B",4.37,66,0.739,0.766
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,2000,"hip hop, pop, R&B",2.93,36,0.852,0.934
Samantha Mumba,Gotta Tell You,2018,pop,3.37,43,0.729,0.774
